Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Afghanistan,AFG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.74673
Albania,ALB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.3821
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.7937849
American Samoa,ASM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.205116
Andorra,AND,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.425432
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3190349
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.297391
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7261432
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0199319
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.4187803
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.366119
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9765741
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9175232
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.6967331
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8721167
Bahrain,BHR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8404424
Bangladesh,BGD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.03248
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9214329
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.3535319
Belgium,BEL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.412356
Belize,BLZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.0156727
Benin,BEN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.132421
Bermuda,BMU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.162025
