Arms,Flag,Country,Capital,Area[38],Population(2018)[39][40],Population density
,,Anguilla,The Valley,91 km2(35 sq mi),"14,731",164.8/km2(427/sq mi)
,,Antigua and Barbuda,St. John's,442 km2(171 sq mi),"96,286",199.1/km2(516/sq mi)
,,Aruba,Oranjestad,180 km2(69 sq mi),"105,845","594.4/km2(1,539/sq mi)"
,,Bahamas,Nassau,"13,943 km2(5,383 sq mi)","385,637",24.5/km2(63/sq mi)
,,Barbados,Bridgetown,430 km2(170 sq mi),"286,641","595.3/km2(1,542/sq mi)"
,,Belize,Belmopan,"22,966 km2(8,867 sq mi)","383,071",13.4/km2(35/sq mi)
,,Bermuda,Hamilton,54 km2(21 sq mi),"62,756","1,203.7/km2(3,118/sq mi)"
,,Bonaire,Kralendijk,294 km2(114 sq mi),"12,093",41.1/km2(106/sq mi)
,,British Virgin Islands,Road Town,151 km2(58 sq mi),"29,802",152.3/km2(394/sq mi)
,,Canada,Ottawa,"9,984,670 km2(3,855,100 sq mi)","37,064,562",3.7/km2(9.6/sq mi)
,,Cayman Islands,George Town,264 km2(102 sq mi),"64,174",212.1/km2(549/sq mi)
,,Clipperton Island,—,6 km2(2.3 sq mi),0,0/km2(0/sq mi)
,,Costa Rica,San José,"51,100 km2(19,700 sq mi)","4,999,441",89.6/km2(232/sq mi)
,,Cuba,Havana,"109,886 km2(42,427 sq mi)","11,338,134",102.0/km2(264/sq mi)
,,Curaçao,Willemstad,444 km2(171 sq mi),"162,752",317.1/km2(821/sq mi)
,,Dominica,Roseau,751 km2(290 sq mi),"71,625",89.2/km2(231/sq mi)
,,Dominican Republic,Santo Domingo,"48,671 km2(18,792 sq mi)","10,627,141",207.3/km2(537/sq mi)
,,El Salvador,San Salvador,"21,041 km2(8,124 sq mi)","6,420,746",293.0/km2(759/sq mi)
,,Federal Dependencies of Venezuela,Gran Roque,342 km2(132 sq mi),"2,155",6.3/km2(16/sq mi)
,,Greenland,Nuuk,"2,166,086 km2(836,330 sq mi)","56,564",0.026/km2(0.067/sq mi)
,,Grenada,St. George's,344 km2(133 sq mi),"111,454",302.3/km2(783/sq mi)
,,Guadeloupe,Basse-Terre,"1,628 km2(629 sq mi)","399,848",246.7/km2(639/sq mi)
,,Guatemala,Guatemala City,"108,889 km2(42,042 sq mi)","17,247,849",128.8/km2(334/sq mi)
,,Haiti,Port-au-Prince,"27,750 km2(10,710 sq mi)","11,123,178",361.5/km2(936/sq mi)
,,Honduras,Tegucigalpa,"112,492 km2(43,433 sq mi)","9,587,522",66.4/km2(172/sq mi)
,,Jamaica,Kingston,"10,991 km2(4,244 sq mi)","2,934,847",247.4/km2(641/sq mi)
,,Martinique,Fort-de-France,"1,128 km2(436 sq mi)","375,673",352.6/km2(913/sq mi)
,,Mexico,Mexico City,"1,964,375 km2(758,449 sq mi)","126,190,788",57.1/km2(148/sq mi)
,,Montserrat,"Plymouth,Brades[d]",102 km2(39 sq mi),"4,993",58.8/km2(152/sq mi)
,,Nicaragua,Managua,"130,373 km2(50,337 sq mi)","6,465,501",44.1/km2(114/sq mi)
,,Nueva Esparta,La Asunción,"1,151 km2(444 sq mi)","491,610","427.1/km2(1,106/sq mi)"
,,Panama,Panama City,"75,417 km2(29,119 sq mi)","4,176,869",45.8/km2(119/sq mi)
,,Puerto Rico,San Juan,"8,870 km2(3,420 sq mi)","3,039,596","448.9/km2(1,163/sq mi)"
,,Saba,The Bottom,13 km2(5.0 sq mi),"1,537",118.2/km2(306/sq mi)
,,San Andrés and Providencia,San Andrés,53 km2(20 sq mi),"77,701","1,468.59/km2(3,803.6/sq mi)"
,,St. Barthélemy,Gustavia,21 km2(8.1 sq mi)[43],"7,448",354.7/km2(919/sq mi)
,,St. Kitts and Nevis,Basseterre,261 km2(101 sq mi),"52,441",199.2/km2(516/sq mi)
,,St. Lucia,Castries,539 km2(208 sq mi),"181,889",319.1/km2(826/sq mi)
,,St. Martin,Marigot,54 km2(21 sq mi)[43],"29,820","552.2/km2(1,430/sq mi)"
,,St. Pierre and Miquelon,Saint-Pierre,242 km2(93 sq mi),"5,849",24.8/km2(64/sq mi)
,,St. Vincent and the Grenadines,Kingstown,389 km2(150 sq mi),"110,211",280.2/km2(726/sq mi)
,,Sint Eustatius,Oranjestad,21 km2(8.1 sq mi),"2,739",130.4/km2(338/sq mi)
,,Sint Maarten,Philipsburg,34 km2(13 sq mi),"41,940 Saint-Martin (French part)=37,264","1,176.7/km2(3,048/sq mi)"
,,Trinidad and Tobago,Port of Spain,"5,130 km2(1,980 sq mi)","1,389,843",261.0/km2(676/sq mi)
,,Turks and Caicos Islands,Cockburn Town,948 km2(366 sq mi),"37,665",34.8/km2(90/sq mi)
,,United States,"Washington, D.C.","9,629,091 km2(3,717,813 sq mi)","327,096,265",32.7/km2(85/sq mi)
,,U.S. Virgin Islands,Charlotte Amalie,347 km2(134 sq mi),"104,680",317.0/km2(821/sq mi)
Total,Total,Total,Total,"24,500,995","541,720,440",22.1/km2(57/sq mi)
