True Argentina,"[0.00000000e+00 2.24746869e-06 2.24746869e-06 2.24746869e-06
 4.49493737e-06 1.79797495e-05 2.69696242e-05 2.69696242e-05
 3.82069677e-05 4.27019051e-05 4.27019051e-05 6.96715293e-05
 7.64139354e-05 1.01136091e-04 1.25858246e-04 1.52827871e-04
 1.77550026e-04 2.18004463e-04 2.87675992e-04 3.55100053e-04
 5.97826671e-04 6.76488075e-04 8.69770382e-04 8.69770382e-04
 1.12822928e-03 1.32375906e-03 1.55075339e-03 1.67436417e-03
 1.84292432e-03 2.36883200e-03 2.36883200e-03 2.54638202e-03
 2.84304789e-03 3.26107707e-03 3.26107707e-03 3.49256634e-03
 3.65887902e-03 3.85440880e-03 4.03420629e-03 4.43875066e-03
 4.43875066e-03 4.81407793e-03 4.96241086e-03 5.11748620e-03
 5.49056600e-03 5.77824199e-03 5.99849393e-03 6.19851864e-03
 6.38056360e-03 6.60980541e-03 6.81207759e-03 7.06604155e-03
 7.72005494e-03 8.10661955e-03 8.49543164e-03 8.74714813e-03
 8.99661716e-03 9.27530327e-03 9.63040332e-03 9.95179135e-03
 1.01855281e-02 1.05204009e-02 1.07496427e-02]"
True Armenia,"[0.00000000e+00 3.38779094e-05 3.38779094e-05 3.38779094e-05
 3.38779094e-05 3.38779094e-05 3.38779094e-05 3.38779094e-05
 3.38779094e-05 3.38779094e-05 3.38779094e-05 3.38779094e-05
 1.35511638e-04 2.71023275e-04 6.09802370e-04 8.80825645e-04
 1.76165129e-03 2.64247694e-03 2.84574439e-03 3.89595959e-03
 4.60739568e-03 5.42046551e-03 6.57231443e-03 7.96130872e-03
 8.43559945e-03 8.97764600e-03 9.82459374e-03 1.11458322e-02
 1.37883091e-02 1.43642336e-02 1.63291523e-02 1.80230478e-02
 1.93442863e-02 2.24610540e-02 2.49341413e-02 2.60859903e-02
 2.78476416e-02 2.82202986e-02 2.88978567e-02 2.98464382e-02
 3.12015546e-02 3.17436011e-02 3.27599384e-02 3.43183223e-02
 3.51991479e-02 3.61477294e-02 3.76383574e-02 3.92644970e-02
 4.06873692e-02 4.22796310e-02 4.37363811e-02 4.53625207e-02
 4.74629511e-02 4.99021606e-02 5.15960561e-02 5.40691435e-02
 5.68132541e-02 5.91508299e-02 6.12512603e-02 6.32500569e-02
 6.54521210e-02 6.99917609e-02 7.27697495e-02 7.70044881e-02
 8.08326919e-02]"
True Australia,"[0.00000000e+00 1.60110874e-05 2.00138592e-05 2.00138592e-05
 2.40166310e-05 3.60249466e-05 3.60249466e-05 4.80332621e-05
 4.80332621e-05 4.80332621e-05 5.20360339e-05 5.20360339e-05
 5.60388058e-05 6.00415776e-05 6.00415776e-05 6.00415776e-05
 6.00415776e-05 6.00415776e-05 6.00415776e-05 6.00415776e-05
 6.00415776e-05 6.00415776e-05 6.00415776e-05 6.00415776e-05
 6.00415776e-05 6.00415776e-05 6.00415776e-05 6.00415776e-05
 6.00415776e-05 6.00415776e-05 6.00415776e-05 6.00415776e-05
 6.00415776e-05 6.00415776e-05 6.00415776e-05 1.00069296e-04
 1.08074840e-04 1.20083155e-04 1.56108102e-04 2.08144136e-04
 2.20152451e-04 2.40166310e-04 2.52174626e-04 3.04210660e-04
 3.64252237e-04 4.28296587e-04 5.12354795e-04 5.12354795e-04
 8.00554368e-04 1.00069296e-03 1.18882324e-03 1.50904498e-03
 1.80925287e-03 2.27357440e-03 2.72588762e-03 3.16619252e-03
 4.28696864e-03 6.20029358e-03 6.73266223e-03 8.18166564e-03
 9.46255263e-03 1.12477889e-02 1.25807119e-02 1.45700895e-02
 1.59470430e-02 1.74560880e-02 1.82486368e-02 1.94614767e-02
 2.04781807e-02 2.13347739e-02 2.22153837e-02 2.27637635e-02
 2.32040684e-02 2.35963400e-02 2.40566588e-02 2.44489304e-02
 2.48772270e-02 2.52294709e-02 2.52775042e-02 2.54216040e-02
 2.56777814e-02 2.57778506e-02 2.58659116e-02 2.61060779e-02
 2.62902054e-02 2.64583219e-02 2.65103579e-02 2.65984189e-02
 2.66264383e-02 2.66664660e-02 2.67265076e-02 2.67945547e-02
 2.68746101e-02 2.69026295e-02 2.69946933e-02 2.70267155e-02
 2.70827543e-02 2.71307875e-02 2.72148457e-02 2.73069095e-02]"
True Austria,"[0.00000000e+00 2.26231011e-05 2.26231011e-05 3.39346516e-05
 3.39346516e-05 1.01803955e-04 1.58361707e-04 2.03607910e-04
 2.37542561e-04 3.28034965e-04 4.63773572e-04 6.22135279e-04
 8.93612492e-04 1.17640126e-03 1.48181312e-03 2.05870220e-03
 2.78264143e-03 3.41608826e-03 5.70102147e-03 7.40906560e-03
 9.72793346e-03 1.15151584e-02 1.50669853e-02 1.86188122e-02
 2.27701512e-02 2.70119827e-02 3.18307032e-02 4.05179740e-02
 5.06078771e-02 5.97589214e-02 6.32089444e-02 7.81515026e-02
 8.66125424e-02 9.35578344e-02 9.94059061e-02 1.08794493e-01
 1.15151584e-01 1.21158018e-01 1.25886246e-01 1.30354308e-01
 1.33261377e-01 1.36315495e-01 1.39098137e-01 1.42966687e-01
 1.46394087e-01 1.49810175e-01 1.53328067e-01 1.56167267e-01
 1.57739572e-01 1.58825481e-01 1.60918118e-01 1.62162388e-01
 1.63746005e-01 1.65092080e-01 1.65951758e-01 1.66834059e-01
 1.67354390e-01 1.68236691e-01 1.68824892e-01 1.69695881e-01
 1.70476378e-01 1.71347367e-01 1.72218357e-01 1.72772623e-01
 1.73711481e-01 1.74220501e-01 1.74786079e-01 1.75679691e-01
 1.75985103e-01 1.76426254e-01]"
True Belarus,"[0.00000000e+00 1.05446313e-05 1.05446313e-05 1.05446313e-05
 1.05446313e-05 1.05446313e-05 6.32677876e-05 6.32677876e-05
 6.32677876e-05 6.32677876e-05 6.32677876e-05 6.32677876e-05
 9.49016813e-05 9.49016813e-05 1.26535575e-04 2.84705044e-04
 2.84705044e-04 2.84705044e-04 3.79606725e-04 3.79606725e-04
 5.37776194e-04 5.37776194e-04 7.27579557e-04 8.01391976e-04
 8.01391976e-04 8.54115132e-04 8.54115132e-04 9.06838288e-04
 9.06838288e-04 9.91195338e-04 9.91195338e-04 9.91195338e-04
 1.60278395e-03 1.60278395e-03 1.71877490e-03 3.20556790e-03
 3.70116557e-03 4.63963775e-03 5.92608277e-03 7.38124188e-03
 9.07892751e-03 1.12405769e-02 1.56693221e-02 2.08889145e-02
 2.34723492e-02 2.71840594e-02 3.07797786e-02 3.45969352e-02
 3.93103853e-02 4.43296298e-02 5.03927928e-02 5.03927928e-02
 5.03927928e-02 6.60515702e-02 7.08915560e-02 7.67754602e-02
 8.45890320e-02 9.25080500e-02 1.01123014e-01 1.10328477e-01
 1.19038342e-01 1.28728858e-01 1.38988785e-01 1.47909543e-01
 1.57294264e-01 1.66900424e-01 1.76148065e-01]"
True Belgium,"[0.00000000e+00 8.74641484e-06 8.74641484e-06 8.74641484e-06
 8.74641484e-06 8.74641484e-06 8.74641484e-06 8.74641484e-06
 8.74641484e-06 8.74641484e-06 8.74641484e-06 8.74641484e-06
 8.74641484e-06 8.74641484e-06 8.74641484e-06 8.74641484e-06
 8.74641484e-06 8.74641484e-06 8.74641484e-06 8.74641484e-06
 8.74641484e-06 8.74641484e-06 8.74641484e-06 8.74641484e-06
 8.74641484e-06 8.74641484e-06 8.74641484e-06 1.74928297e-05
 6.99713188e-05 1.13703393e-04 2.01167541e-04 4.37320742e-04
 9.53359218e-04 1.47814411e-03 1.74928297e-03 2.09039315e-03
 2.33529276e-03 2.74637426e-03 2.74637426e-03 4.88924590e-03
 6.02627983e-03 7.74932355e-03 9.25370691e-03 1.08717937e-02
 1.29971725e-02 1.56998146e-02 1.97406583e-02 2.46211578e-02
 2.97465569e-02 3.27378308e-02 3.73384450e-02 4.31810501e-02
 5.45338966e-02 6.37088857e-02 7.98897532e-02 9.47761513e-02
 1.04073590e-01 1.11735450e-01 1.22134937e-01 1.34239975e-01
 1.46677377e-01 1.61205172e-01 1.72225655e-01 1.82047879e-01
 1.94117931e-01 2.04692347e-01 2.18511682e-01 2.33240645e-01
 2.45057051e-01 2.59304961e-01 2.67544084e-01 2.72179684e-01
 2.93643386e-01 3.04453954e-01 3.16077940e-01 3.25217943e-01
 3.36701986e-01 3.49707905e-01 3.58218166e-01 3.66378571e-01
 3.74320316e-01 3.87404953e-01 3.96431253e-01 4.03507102e-01
 4.08343870e-01 4.14002800e-01 4.18594668e-01 4.24367302e-01
 4.28854213e-01 4.33096224e-01 4.36498579e-01]"
True Bulgaria,"[0.00000000e+00 5.69392019e-05 5.69392019e-05 5.69392019e-05
 9.96436033e-05 9.96436033e-05 3.27400411e-04 5.83626819e-04
 7.25974824e-04 7.40209625e-04 9.53731632e-04 1.30960164e-03
 1.33807124e-03 1.80781966e-03 2.32027248e-03 2.66190769e-03
 2.86119489e-03 3.10318650e-03 3.44482171e-03 3.75798732e-03
 4.17079654e-03 4.71171896e-03 4.92524096e-03 5.11029337e-03
 5.67968539e-03 6.00708580e-03 6.50530382e-03 6.90387823e-03
 7.16010464e-03 7.55867905e-03 7.81490546e-03 8.21347987e-03
 8.44123668e-03 8.79710669e-03 9.03909830e-03 9.40920311e-03
 9.60849032e-03 9.75083832e-03 1.01494127e-02 1.06333960e-02
 1.13878404e-02 1.20426412e-02 1.24981548e-02 1.27259116e-02
 1.32241296e-02 1.38789305e-02 1.45764357e-02 1.56155761e-02
 1.75657438e-02 1.77507962e-02 1.85052406e-02 1.94020330e-02
 1.99144859e-02 2.05977563e-02 2.14376095e-02 2.21351147e-02
 2.26902720e-02 2.30319072e-02]"
True Canada,"[0.00000000e+00 2.69848978e-06 2.69848978e-06 5.39697955e-06
 5.39697955e-06 5.39697955e-06 1.07939591e-05 1.07939591e-05
 1.07939591e-05 1.07939591e-05 1.07939591e-05 1.34924489e-05
 1.34924489e-05 1.88894284e-05 1.88894284e-05 1.88894284e-05
 1.88894284e-05 1.88894284e-05 1.88894284e-05 1.88894284e-05
 1.88894284e-05 1.88894284e-05 1.88894284e-05 2.15879182e-05
 2.15879182e-05 2.15879182e-05 2.15879182e-05 2.42864080e-05
 2.42864080e-05 2.42864080e-05 2.69848978e-05 2.96833875e-05
 2.96833875e-05 3.50803671e-05 3.77788569e-05 5.39697955e-05
 6.47637546e-05 7.28592240e-05 8.09546933e-05 8.90501626e-05
 9.98441217e-05 1.32225999e-04 1.45718448e-04 1.72703346e-04
 2.07783713e-04 2.13180692e-04 2.91436896e-04 3.15723304e-04
 5.20808527e-04 5.34300976e-04 6.80019424e-04 1.11987326e-03
 1.28987811e-03 1.77290778e-03 2.15879182e-03 2.54467586e-03
 3.44597144e-03 3.96408148e-03 5.63444665e-03 7.52878648e-03
 8.77279026e-03 1.09072957e-02 1.26343291e-02 1.50467790e-02
 1.69465158e-02 1.99634274e-02 2.30100223e-02 2.57975623e-02
 3.04497586e-02 3.35611174e-02 3.50210003e-02 4.25174049e-02
 4.46950862e-02 4.82274093e-02 5.16517928e-02 5.57346078e-02
 5.95259860e-02 6.29179876e-02 6.55706031e-02 6.92972175e-02
 7.29536711e-02 7.61216981e-02 8.31377715e-02 8.85482435e-02
 9.27093148e-02 9.61552862e-02 1.01619728e-01 1.06325894e-01
 1.12427180e-01 1.16841909e-01 1.21213462e-01 1.25131669e-01
 1.29616559e-01 1.33888269e-01 1.38027752e-01 1.42655662e-01
 1.46951658e-01 1.52041009e-01 1.56312719e-01 1.63269425e-01]"
True China,[]
True Costa Rica,"[0.00000000e+00 2.00022363e-05 2.00022363e-05 1.00011181e-04
 1.80020126e-04 1.80020126e-04 2.60029071e-04 4.40049198e-04
 4.60051434e-04 5.20058143e-04 5.40060379e-04 7.00078269e-04
 8.20091686e-04 1.00011181e-03 1.38015430e-03 1.78019903e-03
 2.34026164e-03 2.68029966e-03 3.16035333e-03 3.54039582e-03
 4.02044949e-03 4.62051657e-03 5.26058813e-03 5.90065969e-03
 6.28070218e-03 6.60073796e-03 6.94077598e-03 7.50083859e-03
 7.92088556e-03 8.32093028e-03 8.70097277e-03 9.08101526e-03
 9.34104433e-03 9.66108011e-03 1.00411226e-02 1.07812053e-02
 1.11612478e-02 1.15412903e-02 1.19013306e-02 1.22413686e-02
 1.23613820e-02 1.25213999e-02 1.28414357e-02 1.29814513e-02
 1.31014647e-02 1.32014759e-02 1.32414804e-02 1.33814961e-02
 1.36215229e-02 1.37215341e-02 1.37415363e-02 1.38615497e-02
 1.39015542e-02 1.39415587e-02 1.41015766e-02 1.42615944e-02
 1.43816079e-02 1.45016213e-02 1.46616392e-02 1.47816526e-02]"
