Parameters Argentina,[1.00999981e-02 1.20001702e-01 4.10000001e+01]
Parameters Armenia,[ 0.10094401  0.08010348 51.99999556]
Parameters Australia,[2.84124655e-02 1.61246929e-01 6.49999465e+01]
Parameters Austria,[ 0.17082493  0.19007916 32.9999712 ]
Parameters Belarus,[ 0.25922422  0.14170823 61.00001922]
Parameters Belgium,[ 0.43982656  0.13155589 66.00102438]
Parameters Bulgaria,[3.94623214e-02 7.01670568e-02 5.20000009e+01]
Parameters Canada,[ 0.17094683  0.11896953 82.00001492]
Parameters China,[0. 0. 0.]
Parameters Costa Rica,[1.96863944e-02 7.99542821e-02 3.69999993e+01]
Parameters Croatia,[ 0.0504754   0.15003308 39.00000026]
Parameters Cyprus,[ 0.07040916  0.16037003 27.00003109]
Parameters Denmark,[ 0.17108978  0.10937884 40.99998054]
Parameters Dominican Republic,[ 0.07847044  0.11992734 48.0000069 ]
Parameters Ecuador,[ 0.40026445  0.10002328 65.99999313]
Parameters El Salvador,[9.99996192e-03 1.09999998e-01 3.90000000e+01]
Parameters Estonia,[ 0.12923475  0.12983931 35.99999252]
Parameters Finland,[ 0.10090118  0.10443092 73.99996776]
Parameters France,[ 0.26112762  0.14129404 75.00014926]
Parameters Georgia,[2.00795702e-02 8.99925368e-02 5.39999999e+01]
Parameters Germany,[ 0.19389591  0.14716752 66.99988709]
Parameters Greece,[2.87545369e-02 8.99454982e-02 4.09999984e+01]
Parameters Honduras,[9.93145963e-03 9.99992565e-02 3.80000000e+01]
Parameters Hungary,[3.01469830e-02 1.30046712e-01 4.10000010e+01]
Parameters Iceland,[ 0.50762291  0.1798944  29.00330561]
Parameters Indonesia,[1.00000366e-02 7.99999874e-02 6.50000000e+01]
Parameters Ireland,[ 0.46701322  0.13862962 46.00013703]
Parameters Israel,[ 0.17667994  0.15397136 45.00019217]
Parameters Italy,[ 0.3373308   0.11364666 61.00012696]
Parameters Jordan,[1.00000052e-02 4.99999833e-02 5.60000000e+01]
Parameters Kazakhstan,[3.02776386e-02 1.09977028e-01 4.49999996e+01]
Parameters Latvia,[ 0.04079727  0.15879028 30.0000407 ]
Parameters Lithuania,[ 0.05038077  0.15830349 36.99998398]
Parameters Luxembourg,[ 0.59970994  0.18744917 30.00198793]
Parameters Madagascar,[1.00000006e-02 4.99999979e-02 9.60000000e+01]
Parameters Malta,[ 0.09976234  0.13297071 28.99999419]
Parameters Mexico,[4.99999443e-02 1.00000017e-01 7.10000000e+01]
Parameters Moldova,[ 0.15900676  0.13506005 40.00014026]
Parameters Mongolia,[1.00000051e-02 4.00000007e-02 1.00000000e+02]
Parameters Norway,[ 0.13984577  0.14205078 31.0003063 ]
Parameters Pakistan,[3.00000836e-02 7.99999615e-02 7.80000000e+01]
Parameters Paraguay,[1.00000327e-02 6.00000132e-02 6.00000000e+01]
Parameters Peru,[ 0.26118397  0.11806855 57.99997437]
Parameters Poland,[4.00420199e-02 1.10043337e-01 4.29999999e+01]
Parameters Portugal,[ 0.25142109  0.13289674 37.99988727]
Parameters Romania,[ 0.0708779   0.12000149 48.99999694]
Parameters Slovenia,[ 0.06969083  0.12778059 25.99992058]
Parameters Spain,[ 0.4536889   0.15180715 62.00003571]
Parameters Sweden,[ 0.25284432  0.09812965 76.99998116]
Parameters Switzerland,[ 0.33843113  0.1593454  34.00010798]
Parameters Thailand,[0. 0. 0.]
Parameters Tunisia,[9.76443362e-03 1.10003448e-01 3.59999999e+01]
Parameters Turkey,[ 0.15685523  0.15261546 35.00003283]
Parameters United States,[0. 0. 0.]
Parameters Ukraine,[3.05499307e-02 1.39994742e-01 5.09999993e+01]
Parameters United Kingdom,[ 0.29683119  0.12318026 76.00002954]
Parameters Uruguay,[1.97494535e-02 9.99997038e-02 2.19999997e+01]
Parameters Vietnam,[ 2.11408872e-04  1.69920655e-06 -7.22039126e-15]
Parameters Zambia,[1.00000009e-02 4.99999995e-02 9.90000000e+01]
